"estacao","estacao.nome","cidade","estado","regiao","situacao","latitude","longitude","altitude"
"A747","PRADOPOLIS","PRADOPOLIS","SP","Sudeste","Operante",-21.33833333,-48.11388888,544
"A218","PREGUICAS","PREGUICAS","MA","Nordeste","Operante",-2.59222221,-42.7075,4.62
"A126","PRESIDENTE FIGUEIREDO","PRESIDENTE FIGUEIREDO","AM","Norte","Pane",-2.05666666,-60.02583332,60.99
"A622","PRESIDENTE KENNEDY","PRESIDENTE KENNEDY","ES","Sudeste","Operante",-21.10083333,-41.03944444,69.12
"A707","PRESIDENTE PRUDENTE","PRESIDENTE PRUDENTE","SP","Sudeste","Operante",-22.11999999,-51.40861111,431.92
"A923","PRIMAVERA DO LESTE","PRIMAVERA DO LESTE","MT","Centro-oeste","Pane",-15.57999999,-54.3811111,680
"A637","Paty do Alferes - Avelar"," Avelar","RJ","Sudeste","Operante",-22.34722221,-43.41777777,508
"A831","QUARAI","QUARAI","RS","Sul","Operante",-30.368578,-56.437115,113.05
"A436","QUEIMADAS","QUEIMADAS","BA","Nordeste","Pane",-10.98472221,-39.61694443,310.11
"A916","QUERENCIA","QUERENCIA","MT","Centro-oeste","Operante",-12.60305555,-52.1625,355
"A369","QUIXADA","QUIXADA","CE","Nordeste","Operante",-4.97888888,-39.05722222,193
"A325","QUIXERAMOBIM","QUIXERAMOBIM","CE","Nordeste","Pane",-5.17444443,-39.28944444,221.04
"A718","RANCHARIA","RANCHARIA","SP","Sudeste","Operante",-22.37277777,-50.97472221,398.75
"A870","RANCHO QUEIMADO","RANCHO QUEIMADO","SC","Sul","Operante",-27.6786111,-49.04194444,881
"A254","REDENCAO","REDENCAO","PA","Norte","Operante",-8.04333333,-50.00694444,199
"A766","REGISTRO","REGISTRO","SP","Sudeste","Pane",-24.53305554,-47.86416666,35
"A423","REMANSO","REMANSO","BA","Nordeste","Operante",-9.62555554,-42.07722221,397.4
"A609","RESENDE","RESENDE","RJ","Sudeste","Operante",-22.45138888,-44.44499999,438.83
"A458","RIBEIRA DO AMPARO","RIBEIRA DO AMPARO","BA","Nordeste","Operante",-11.05861111,-38.44416666,182
"A104","RIO BRANCO","RIO BRANCO","AC","Norte","Operante",-9.95920402,-67.86898266,163
"A743","RIO BRILHANTE","RIO BRILHANTE","MS","Centro-oeste","Operante",-21.77499999,-54.52805554,324.31
"A626","RIO CLARO","RIO CLARO","RJ","Sudeste","Operante",-22.653579,-44.040916,516
"A652","RIO DE JANEIRO - FORTE DE COPACABANA"," FORTE DE COPACABANA","RJ","Sudeste","Operante",-22.98833333,-43.19055555,25.59
"A636","RIO DE JANEIRO - JACAREPAGUA"," JACAREPAGUA","RJ","Sudeste","Operante",-22.93999999,-43.40277777,20
"A621","RIO DE JANEIRO - VILA MILITAR"," VILA MILITAR","RJ","Sudeste","Operante",-22.86138888,-43.41138888,30.43
"A602","RIO DE JANEIRO-MARAMBAIA","MARAMBAIA","RJ","Sudeste","Operante",-23.05027777,-43.59555555,12
"A861","RIO DO CAMPO","RIO DO CAMPO","SC","Sul","Operante",-26.93749999,-50.14555555,591.67
"A802","RIO GRANDE","RIO GRANDE","RS","Sul","Operante",-32.07888888,-52.16777777,4.92
"A862","RIO NEGRINHO","RIO NEGRINHO","SC","Sul","Operante",-26.2486111,-49.57416666,856
"A813","RIO PARDO","RIO PARDO","RS","Sul","Operante",-29.87222221,-52.38194443,106.99
"A551","RIO PARDO DE MINAS","RIO PARDO DE MINAS","MG","Sudeste","Operante",-15.72305554,-42.43583333,850.06
"A050","RIO SONO","RIO SONO","TO","Norte","Operante",-9.793363,-47.132732,291
"A125","RIO URUBU","RIO URUBU","AM","Norte","Operante",-2.6336111,-59.60055555,112.84
"A025","RIO VERDE","RIO VERDE","GO","Centro-oeste","Operante",-17.78527777,-50.965,780.11
"A214","RONDON DO PARA","RONDON DO PARA","PA","Norte","Operante",-4.82749999,-48.1736111,203
"A907","RONDONOPOLIS","RONDONOPOLIS","MT","Centro-oeste","Operante",-16.4625,-54.58027777,289.88
"A944","ROSARIO OESTE","ROSARIO OESTE","MT","Centro-oeste","Operante",-14.82888888,-56.44194444,195
"A134","S, G. DA CACHOEIRA","SAO GABRIEL DA CACHOEIRA","AM","Norte","Operante",-0.125207,-67.061246,79.67
"A903","S,J. DO RIO CLARO","SAO JOSE DO RIO CLARO","MT","Centro-oeste","Operante",-13.45388888,-56.67722221,339.59
"A525","SACRAMENTO","SACRAMENTO","MG","Sudeste","Operante",-19.87527777,-47.43416666,913.12
"A370","SALGUEIRO","SALGUEIRO","PE","Nordeste","Operante",-8.05805555,-39.0961111,447
"A552","SALINAS","SALINAS","MG","Sudeste","Operante",-16.16027777,-42.31027777,487.14
"A215","SALINOPOLIS","SALINOPOLIS","PA","Norte","Operante",-0.61888888,-47.35666666,23.18
"A936","SALTO DO CEU","SALTO DO CEU","MT","Centro-oeste","Operante",-15.12472221,-58.12722221,300.83
"A401","SALVADOR","SALVADOR","BA","Nordeste","Operante",-13.005515,-38.50576,47.56
"A456","SALVADOR (RADIO FAROL)","SALVADOR","BA","Nordeste","Operante",-12.80833333,-38.49583333,31
"A367","SANTA CRUZ","SANTA CRUZ","RN","Nordeste","Operante",-6.22805554,-36.02666666,227.49
"A048","SANTA FE DO ARAGUAIA","SANTA FE DO ARAGUAIA","TO","Norte","Operante",-7.124191,-48.781267,171
"A803","SANTA MARIA","SANTA MARIA","RS","Sul","Operante",-29.72499999,-53.72055554,103.1
"A256","SANTA MARIA DAS BARREIRAS","SANTA MARIA DAS BARREIRAS","PA","Norte","Operante",-8.72972221,-49.85638888,165
"A630","SANTA MARIA MADALENA","SANTA MARIA MADALENA","RJ","Sudeste","Operante",-21.95055555,-42.01027777,586
"A415","SANTA RITA DE CASSIA","SANTA RITA DE CASSIA","BA","Nordeste","Pane",-11.00333333,-44.53638888,450
"A810","SANTA ROSA","SANTA ROSA","RS","Sul","Operante",-27.89055555,-54.47999999,272.84
"A052","SANTA ROSA DO TOCANTINS","SANTA ROSA DO TOCANTINS","TO","Norte","Operante",-11.42888888,-48.18499999,306
"A613","SANTA TERESA","SANTA TERESA","ES","Sudeste","Operante",-19.98833333,-40.57944443,975.92
"A233","SANTANA DO ARAGUAIA","SANTANA DO ARAGUAIA","PA","Norte","Operante",-9.34055555,-50.35027777,154
"A804","SANTANA DO LIVRAMENTO","SANTANA DO LIVRAMENTO","RS","Sul","Operante",-30.75055555,-55.40138888,196
"A250","SANTAREM","SANTAREM","PA","Norte","Operante",-2.5025,-54.72027777,137
"A833","SANTIAGO","SANTIAGO","RS","Sul","Operante",-29.191599,-54.885653,390.03
"A931","SANTO ANTONIO DO LESTE","SANTO ANTONIO DO LESTE","MT","Centro-oeste","Operante",-14.92499999,-53.88444444,662
"A805","SANTO AUGUSTO","SANTO AUGUSTO","RS","Sul","Operante",-27.85444444,-53.7911111,489.67
"A830","SAO BORJA","SAO BORJA","RS","Sul","Operante",-28.65,-56.01638888,81.08
"A711","SAO CARLOS","SAO CARLOS","SP","Sudeste","Operante",-21.98027777,-47.88388888,859.29
"A921","SAO FELIX  DO ARAGUAIA","SAO FELIX  DO ARAGUAIA","MT","Centro-oeste","Pane",-11.61888888,-50.72777777,201.37
"A216","SAO FELIX DO XINGU","SAO FELIX DO XINGU","PA","Norte","Operante",-6.63972221,-51.95694444,211
"A832","SAO GABRIEL","SAO GABRIEL","RS","Sul","Operante",-30.34138888,-54.31083333,114.89
"A732","SAO GABRIEL DO OESTE","SAO GABRIEL DO OESTE","MS","Centro-oeste","Operante",-19.42027777,-54.55305555,646
"A333","SAO GONCALO","SAO GONCALO","PB","Nordeste","Operante",-6.835777,-38.311583,237.04
